timestamp,open,high,low,close,volume
2021-04-08,182.9499969482422,183.97000122070312,182.47000122070312,182.61000061035156,2393200.0
2021-04-09,182.52999877929688,185.13999938964844,182.41000366210938,184.49000549316406,2611200.0
2021-04-12,183.42999267578125,183.94000244140625,180.8800048828125,181.82000732421875,2876100.0
2021-04-13,181.17999267578125,183.63999938964844,181.17999267578125,182.52999877929688,3089100.0
2021-04-14,182.58999633789062,184.47000122070312,182.0500030517578,183.0,2002100.0
2021-04-15,183.7899932861328,187.72000122070312,183.41000366210938,185.9199981689453,2586600.0
2021-04-16,187.3800048828125,190.3000030517578,186.8800048828125,189.25,3731800.0
2021-04-19,189.24000549316406,190.8800048828125,188.07000732421875,189.63999938964844,2966400.0
2021-04-20,190.41000366210938,193.5,190.1699981689453,190.61000061035156,2460900.0
2021-04-21,191.55999755859375,193.00999450683594,189.8000030517578,190.9499969482422,2219800.0
2021-04-22,190.0,191.27000427246094,186.75,187.0500030517578,2982600.0
2021-04-23,187.02999877929688,189.1300048828125,187.02999877929688,188.72000122070312,2482800.0
2021-04-26,188.57000732421875,188.64999389648438,186.05999755859375,187.22000122070312,2797500.0
2021-04-27,184.0,185.8699951171875,180.7899932861328,182.2100067138672,6838700.0
2021-04-28,181.4499969482422,182.0,178.5800018310547,180.5500030517578,4682800.0
2021-04-29,181.05999755859375,182.6300048828125,180.0,182.1999969482422,2432500.0
2021-04-30,181.83999633789062,183.9499969482422,181.19000244140625,182.77000427246094,3103900.0
2021-05-03,182.99000549316406,186.35000610351562,182.9199981689453,185.9199981689453,3197000.0
2021-05-04,187.52999877929688,190.0800018310547,186.77999877929688,188.1999969482422,3703500.0
2021-05-05,188.64999389648438,193.57000732421875,188.1699981689453,192.80999755859375,4274400.0
2021-05-06,191.5500030517578,194.10000610351562,189.32000732421875,193.88999938964844,3101600.0
2021-05-07,194.82000732421875,196.27000427246094,193.89999389648438,195.4199981689453,2526700.0
2021-05-10,196.1699981689453,196.61000061035156,193.5,194.75999450683594,2242000.0
2021-05-11,193.38999938964844,195.75,193.00999450683594,194.75,1850200.0
2021-05-12,194.75,195.64999389648438,192.72999572753906,193.1999969482422,2397400.0
2021-05-13,192.25,196.11000061035156,191.75,194.94000244140625,2174300.0
2021-05-14,195.7100067138672,197.27000427246094,194.9199981689453,196.2100067138672,1823700.0
2021-05-17,196.47999572753906,199.61000061035156,195.08999633789062,195.52999877929688,2466000.0
2021-05-18,195.0,196.35000610351562,193.5800018310547,194.6300048828125,2369400.0
2021-05-19,193.61000061035156,197.38999938964844,193.11000061035156,196.50999450683594,3070500.0
2021-05-20,197.16000366210938,201.0800018310547,196.1699981689453,199.52999877929688,3494400.0
2021-05-21,200.0,201.9199981689453,199.47000122070312,199.8800048828125,2579000.0
2021-05-24,201.0,203.6199951171875,200.0399932861328,201.02000427246094,2074900.0
2021-05-25,201.42999267578125,201.85000610351562,199.13999938964844,199.22000122070312,2919100.0
2021-05-26,199.22999572753906,202.44000244140625,198.25,200.99000549316406,2891300.0
2021-05-27,200.64999389648438,201.3800048828125,195.5,199.1999969482422,9340300.0
2021-05-28,199.1199951171875,202.27999877929688,198.52999877929688,199.74000549316406,2386000.0
2021-06-01,200.32000732421875,200.88999938964844,196.67999267578125,198.4199981689453,3070200.0
2021-06-02,199.00999450683594,200.9199981689453,198.25,199.1300048828125,2030300.0
2021-06-03,198.99000549316406,203.63999938964844,198.61000061035156,202.6999969482422,3066600.0
2021-06-04,202.7899932861328,204.4499969482422,201.2899932861328,202.02000427246094,2817700.0
2021-06-07,201.99000549316406,233.3300018310547,201.8300018310547,222.52000427246094,17231400.0
2021-06-08,221.7100067138672,222.27000427246094,217.3699951171875,220.6999969482422,4618500.0
2021-06-09,221.35000610351562,226.72999572753906,220.25999450683594,226.0,4934900.0
2021-06-10,226.97000122070312,235.85000610351562,226.25,233.5399932861328,5598200.0
2021-06-11,227.02999877929688,229.58999633789062,221.55999755859375,224.08999633789062,5636000.0
2021-06-14,224.22999572753906,226.66000366210938,223.02000427246094,226.10000610351562,2720700.0
2021-06-15,226.10000610351562,226.66000366210938,222.8699951171875,223.52000427246094,2188900.0
2021-06-16,223.52999877929688,224.36000061035156,220.1999969482422,220.75999450683594,2548800.0
2021-06-17,220.27000427246094,223.10000610351562,220.27000427246094,222.2100067138672,1890700.0
2021-06-18,220.42999267578125,221.0500030517578,218.32000732421875,218.5500030517578,4016600.0
2021-06-21,219.10000610351562,223.77000427246094,218.0800018310547,222.6699981689453,3671300.0
2021-06-22,222.6300048828125,223.61000061035156,220.50999450683594,221.44000244140625,1658800.0
2021-06-23,222.19000244140625,222.24000549316406,217.0,217.10000610351562,2419600.0
2021-06-24,234.9199981689453,239.3699951171875,230.4199981689453,232.97000122070312,12290500.0
2021-06-25,233.1199951171875,233.49000549316406,229.38999938964844,230.22000122070312,6992200.0
2021-06-28,229.0,229.8800048828125,226.8800048828125,228.22000122070312,2507500.0
2021-06-29,228.25,231.39999389648438,227.85000610351562,229.3699951171875,1621200.0
2021-06-30,230.08999633789062,230.85000610351562,229.05999755859375,229.52000427246094,1786700.0
2021-07-01,229.50999450683594,231.5,228.66000366210938,231.1300048828125,1977300.0
2021-07-02,231.97000122070312,234.2100067138672,231.3300018310547,233.9600067138672,1994000.0
2021-07-06,233.6300048828125,235.5800018310547,233.22999572753906,235.4199981689453,3125400.0
2021-07-07,234.67999267578125,236.58999633789062,233.4600067138672,235.82000732421875,3141500.0
2021-07-08,233.8300018310547,237.27000427246094,232.10000610351562,237.1199951171875,2431500.0
2021-07-09,237.1699981689453,238.47000122070312,232.75,234.99000549316406,4030100.0
2021-07-12,235.1699981689453,238.0,235.14999389648438,236.00999450683594,2928600.0
2021-07-13,235.97999572753906,236.64999389648438,234.02999877929688,235.3000030517578,1974000.0
2021-07-14,235.7899932861328,237.22999572753906,234.72999572753906,236.35000610351562,2103400.0
2021-07-15,235.00999450683594,235.99000549316406,230.69000244140625,231.47000122070312,3611200.0
2021-07-16,232.5,233.0399932861328,231.2100067138672,232.4600067138672,2229100.0
2021-07-19,231.8800048828125,234.3000030517578,230.57000732421875,234.13999938964844,2305600.0
2021-07-20,235.0,237.75,233.94000244140625,235.02000427246094,2297800.0
2021-07-21,236.3800048828125,237.3699951171875,233.58999633789062,237.2899932861328,1651500.0
2021-07-22,237.27999877929688,239.6999969482422,236.3699951171875,238.49000549316406,1703500.0
2021-07-23,239.27999877929688,244.5500030517578,238.55999755859375,244.14999389648438,2448100.0
2021-07-26,242.57000732421875,245.27999877929688,242.57000732421875,243.2100067138672,2678800.0
2021-07-27,243.7100067138672,244.05999755859375,242.66000366210938,243.5800018310547,2116500.0
2021-07-28,243.3699951171875,248.39999389648438,242.63999938964844,246.50999450683594,1688000.0
2021-07-29,247.5,248.24000549316406,242.24000549316406,245.3300018310547,1924100.0
2021-07-30,244.89999389648438,245.9499969482422,242.6300048828125,243.5,1905100.0
2021-08-02,245.72999572753906,247.88999938964844,244.25,246.60000610351562,1958900.0
2021-08-03,244.75,259.3699951171875,243.5,255.99000549316406,5406200.0
2021-08-04,256.0,270.6499938964844,255.4199981689453,262.4700012207031,3892400.0
2021-08-05,263.2799987792969,265.510009765625,261.3299865722656,264.19000244140625,2262400.0
2021-08-06,263.510009765625,264.2699890136719,260.739990234375,263.44000244140625,2155200.0
2021-08-09,264.5799865722656,273.0400085449219,264.5,267.1600036621094,3238500.0
2021-08-10,266.75,271.0799865722656,266.17999267578125,269.45001220703125,2060200.0
2021-08-11,269.5899963378906,270.94000244140625,262.6600036621094,264.1000061035156,2813300.0
2021-08-12,263.20001220703125,264.5400085449219,261.489990234375,263.4700012207031,2100900.0
2021-08-13,263.1499938964844,265.69000244140625,263.0199890136719,264.2099914550781,1482300.0
2021-08-16,264.8800048828125,270.260009765625,264.2699890136719,269.94000244140625,2623200.0
2021-08-17,271.1600036621094,275.8699951171875,267.17999267578125,272.7099914550781,2096100.0
2021-08-18,272.010009765625,274.760009765625,268.0299987792969,268.5199890136719,2527400.0
2021-08-19,266.1499938964844,271.8500061035156,265.42999267578125,270.3999938964844,1901000.0
2021-08-20,269.3800048828125,272.8699951171875,269.05999755859375,270.9100036621094,1536800.0
2021-08-23,272.29998779296875,272.9100036621094,267.70001220703125,267.82000732421875,2438800.0
2021-08-24,266.20001220703125,267.44000244140625,261.7799987792969,262.7699890136719,3736000.0
2021-08-25,262.7799987792969,264.5199890136719,261.2900085449219,263.8699951171875,2388500.0
2021-08-26,264.0,265.5899963378906,260.5799865722656,261.32000732421875,1732900.0
2021-08-27,262.5199890136719,263.1300048828125,258.5799865722656,259.75,1839700.0
2021-08-30,261.0299987792969,264.07000732421875,259.6099853515625,262.30999755859375,1300700.0
2021-08-31,262.8399963378906,263.6400146484375,257.8599853515625,258.2900085449219,2733400.0
2021-09-01,258.5400085449219,258.7699890136719,254.49000549316406,257.3999938964844,2956800.0
2021-09-02,257.4100036621094,259.7300109863281,256.4700012207031,259.57000732421875,1469700.0
2021-09-03,260.8299865722656,260.989990234375,256.7799987792969,259.5299987792969,1124500.0
2021-09-07,259.0,260.82000732421875,254.41000366210938,254.8000030517578,2403700.0
2021-09-08,254.60000610351562,255.7100067138672,253.67999267578125,254.83999633789062,1542400.0
2021-09-09,253.2899932861328,254.02000427246094,239.6699981689453,240.0,4976600.0
2021-09-10,242.1999969482422,243.88999938964844,238.57000732421875,239.5,4633500.0
2021-09-13,240.0399932861328,241.14999389648438,235.14999389648438,237.9600067138672,2832800.0
2021-09-14,238.72000122070312,239.7899932861328,231.97999572753906,233.08999633789062,3826000.0
2021-09-15,233.5800018310547,239.3800048828125,233.05999755859375,233.72999572753906,2802500.0
2021-09-16,234.0800018310547,234.69000244140625,229.72999572753906,231.0399932861328,2958700.0
2021-09-17,229.7100067138672,230.8300018310547,228.22999572753906,230.10000610351562,4480000.0
2021-09-20,228.08999633789062,232.72999572753906,227.2899932861328,231.63999938964844,2803400.0
2021-09-21,232.05999755859375,233.72000122070312,229.74000549316406,230.1699981689453,2172800.0
2021-09-22,230.0,231.02999877929688,227.5800018310547,228.3000030517578,2529600.0
2021-09-23,229.3000030517578,234.1999969482422,229.00999450683594,232.17999267578125,1912300.0
2021-09-24,232.77000427246094,235.38999938964844,231.33999633789062,231.67999267578125,1642500.0
2021-09-27,229.97000122070312,231.05999755859375,225.61000061035156,226.39999389648438,2785900.0
2021-09-28,226.38999938964844,226.39999389648438,220.1999969482422,221.60000610351562,3583300.0
2021-09-29,225.41000366210938,231.44000244140625,224.55999755859375,230.36000061035156,3971000.0
2021-09-30,232.77999877929688,237.16000366210938,230.8000030517578,231.0500030517578,3786100.0
2021-10-01,231.0,231.67999267578125,225.4499969482422,229.58999633789062,2215700.0
2021-10-04,227.8000030517578,230.19000244140625,224.22000122070312,224.85000610351562,4784700.0
2021-10-05,226.44000244140625,232.55999755859375,226.1699981689453,230.92999267578125,2802000.0
2021-10-06,230.55999755859375,230.85000610351562,226.0500030517578,227.85000610351562,2462700.0
2021-10-07,229.1199951171875,234.11000061035156,229.0,233.17999267578125,2001800.0
2021-10-08,233.4199981689453,235.80999755859375,231.5500030517578,233.94000244140625,2563000.0
2021-10-11,236.6999969482422,237.99000549316406,233.60000610351562,233.6699981689453,1892300.0
2021-10-12,234.6999969482422,235.07000732421875,231.97999572753906,232.77999877929688,1719200.0
2021-10-13,234.07000732421875,237.9199981689453,232.8000030517578,236.44000244140625,2105700.0
2021-10-14,237.00999450683594,238.44000244140625,234.11000061035156,236.69000244140625,1824700.0
2021-10-15,237.4199981689453,239.3000030517578,235.82000732421875,237.8800048828125,2598300.0
2021-10-18,237.9499969482422,242.66000366210938,236.6999969482422,238.97999572753906,2546000.0
2021-10-19,239.05999755859375,242.5500030517578,239.05999755859375,242.30999755859375,1573200.0
2021-10-20,243.72999572753906,245.89999389648438,243.0399932861328,243.72000122070312,1537500.0
2021-10-21,244.9499969482422,244.9499969482422,239.8300018310547,241.1699981689453,1717700.0
2021-10-22,240.9600067138672,244.0399932861328,239.55999755859375,243.75,1960700.0
2021-10-25,244.66000366210938,246.27000427246094,240.52000427246094,245.0500030517578,2763100.0
2021-10-26,244.5,248.9199981689453,237.08999633789062,248.44000244140625,4533000.0
2021-10-27,248.61000061035156,254.4600067138672,248.32000732421875,250.1699981689453,3181300.0
2021-10-28,250.16000366210938,256.75,250.0800018310547,253.35000610351562,3386500.0
2021-10-29,253.77999877929688,256.4700012207031,251.77000427246094,254.75999450683594,3152000.0
2021-11-01,255.11000061035156,256.4800109863281,248.0500030517578,249.30999755859375,2735800.0
2021-11-02,251.25,259.29998779296875,249.39999389648438,256.8500061035156,3987800.0
2021-11-03,257.7699890136719,266.7900085449219,257.760009765625,266.260009765625,4382900.0
2021-11-04,265.4800109863281,271.1099853515625,265.2699890136719,271.0,4133400.0
2021-11-05,268.989990234375,269.489990234375,258.55999755859375,265.0,3745700.0
2021-11-08,263.989990234375,266.9100036621094,259.1499938964844,260.5299987792969,2386100.0
2021-11-09,260.5299987792969,262.1600036621094,258.3900146484375,262.0199890136719,1963800.0
2021-11-10,262.0,266.0,261.6000061035156,264.6499938964844,2215100.0
2021-11-11,262.32000732421875,264.32000732421875,261.95001220703125,262.6300048828125,1739400.0
2021-11-12,261.7799987792969,262.5199890136719,258.92999267578125,259.6499938964844,1964000.0
2021-11-15,259.3900146484375,259.6099853515625,257.1600036621094,258.42999267578125,1903200.0
2021-11-16,256.9599914550781,260.3500061035156,255.99000549316406,257.7200012207031,2565700.0
2021-11-17,256.80999755859375,264.54998779296875,256.07000732421875,261.17999267578125,2873600.0
2021-11-18,262.0,263.79998779296875,259.82000732421875,261.3299865722656,1689200.0
2021-11-19,266.42999267578125,270.79998779296875,260.29998779296875,260.70001220703125,2786800.0
2021-11-22,262.2200012207031,263.989990234375,259.1300048828125,260.44000244140625,1995400.0
2021-11-23,259.4700012207031,262.760009765625,259.25,261.9599914550781,1986200.0
2021-11-24,262.7699890136719,264.94000244140625,260.04998779296875,262.0,2518500.0
2021-11-26,261.79998779296875,265.8800048828125,259.0299987792969,260.3699951171875,1495500.0
2021-11-29,260.0199890136719,262.32000732421875,254.5,254.8300018310547,4041700.0
2021-11-30,253.27000427246094,254.0,246.47999572753906,248.0399932861328,8265900.0
2021-12-01,249.44000244140625,255.3000030517578,247.88999938964844,249.1300048828125,3241400.0
2021-12-02,246.52000427246094,249.97999572753906,245.1199951171875,247.8800048828125,3817700.0
2021-12-03,252.1300048828125,253.47999572753906,243.0800018310547,245.5800018310547,4169700.0
2021-12-06,245.9199981689453,246.94000244140625,241.52999877929688,246.3300018310547,3491200.0
2021-12-07,244.24000549316406,245.44000244140625,241.4499969482422,245.11000061035156,4035800.0
2021-12-08,246.61000061035156,248.17999267578125,239.47000122070312,244.32000732421875,3636200.0
2021-12-09,244.49000549316406,245.91000366210938,242.75,242.89999389648438,2291100.0
2021-12-10,241.1999969482422,244.58999633789062,241.1999969482422,244.13999938964844,2380800.0
2021-12-13,245.50999450683594,250.6999969482422,245.4600067138672,248.52999877929688,3016700.0
2021-12-14,247.74000549316406,250.00999450683594,246.38999938964844,249.3800048828125,3424000.0
2021-12-15,262.07000732421875,275.5400085449219,257.2099914550781,275.2799987792969,10016700.0
2021-12-16,275.6700134277344,283.8999938964844,272.04998779296875,279.0400085449219,5546400.0
2021-12-17,276.6700134277344,276.6700134277344,265.3299865722656,267.4200134277344,7582900.0
2021-12-20,269.2300109863281,270.010009765625,260.3500061035156,263.4800109863281,3479400.0
2021-12-21,264.0,265.95001220703125,260.57000732421875,264.8800048828125,2702500.0
2021-12-22,264.739990234375,266.55999755859375,262.8500061035156,266.5,2721000.0
2021-12-23,269.04998779296875,275.2699890136719,266.67999267578125,273.1000061035156,2632200.0
2021-12-27,275.0400085449219,280.29998779296875,274.7200012207031,278.4100036621094,1677100.0
2021-12-28,279.3399963378906,279.3999938964844,275.8900146484375,276.42999267578125,1033900.0
2021-12-29,275.82000732421875,279.3599853515625,275.739990234375,278.4200134277344,1112300.0
2021-12-30,279.19000244140625,280.6499938964844,276.3699951171875,277.25,1181500.0
2021-12-31,277.4700012207031,278.7300109863281,276.010009765625,276.2200012207031,1315700.0
2022-01-03,274.4100036621094,274.4100036621094,267.05999755859375,271.7300109863281,2621300.0
2022-01-04,269.0,269.8800048828125,263.5799865722656,266.80999755859375,2340500.0
2022-01-05,268.1600036621094,268.7699890136719,260.4200134277344,260.6499938964844,3004200.0
2022-01-06,260.1000061035156,261.29998779296875,255.4600067138672,259.3299865722656,2863200.0
2022-01-07,259.739990234375,261.25,256.7099914550781,259.5,2245100.0
2022-01-10,258.19000244140625,260.1600036621094,255.88999938964844,260.1099853515625,2576700.0
2022-01-11,261.5899963378906,262.4100036621094,257.05999755859375,262.32000732421875,2294000.0
2022-01-12,252.89999389648438,257.44000244140625,250.97000122070312,255.9199981689453,6562800.0
2022-01-13,254.07000732421875,255.5,248.5500030517578,249.6699981689453,3726500.0
2022-01-14,250.14999389648438,250.5399932861328,242.89999389648438,244.1199951171875,2894300.0
2022-01-18,242.75,248.52000427246094,242.08999633789062,247.07000732421875,3241200.0
2022-01-19,246.3300018310547,250.41000366210938,244.72999572753906,245.0500030517578,2487600.0
2022-01-20,245.5800018310547,247.9499969482422,242.5,243.1300048828125,2655400.0
2022-01-21,246.8800048828125,247.8800048828125,242.1199951171875,243.05999755859375,2788600.0
2022-01-24,242.5500030517578,243.75999450683594,232.67999267578125,240.4199981689453,3712800.0
2022-01-25,236.80999755859375,241.52999877929688,235.1199951171875,239.4600067138672,2525100.0
2022-01-26,239.6300048828125,242.42999267578125,235.91000366210938,237.86000061035156,2913200.0
2022-01-27,239.97999572753906,243.27000427246094,235.75999450683594,236.72000122070312,2178500.0
2022-01-28,237.49000549316406,245.22000122070312,235.0500030517578,245.10000610351562,3081100.0
2022-01-31,243.27000427246094,245.49000549316406,241.9199981689453,245.38999938964844,3237100.0
2022-02-01,247.0500030517578,248.83999633789062,243.25999450683594,248.27999877929688,2449400.0
2022-02-02,245.35000610351562,251.8800048828125,244.02999877929688,250.8300018310547,2586700.0
2022-02-03,247.5,248.1199951171875,241.10000610351562,244.80999755859375,3473600.0
2022-02-04,242.72000122070312,244.10000610351562,241.22000122070312,242.27000427246094,3569300.0
2022-02-07,242.41000366210938,244.02999877929688,240.3000030517578,243.5500030517578,3948300.0
2022-02-08,241.89999389648438,242.88999938964844,237.47000122070312,239.91000366210938,2615000.0
2022-02-09,241.25999450683594,244.4600067138672,241.05999755859375,243.27000427246094,1759900.0
2022-02-10,239.89999389648438,244.08999633789062,238.11000061035156,239.63999938964844,2283100.0
2022-02-11,239.22999572753906,240.6300048828125,234.85000610351562,235.74000549316406,2054300.0
2022-02-14,234.0,236.8800048828125,231.8699951171875,234.69000244140625,2572000.0
2022-02-15,236.64999389648438,244.7899932861328,236.64999389648438,243.83999633789062,3409600.0
2022-02-16,242.5800018310547,247.02000427246094,242.5800018310547,245.5800018310547,2459000.0
2022-02-17,245.5800018310547,245.58999633789062,240.41000366210938,240.97000122070312,2059100.0
2022-02-18,238.02000427246094,242.42999267578125,238.02000427246094,240.30999755859375,2517900.0
2022-02-22,239.2100067138672,240.86000061035156,237.52000427246094,239.1300048828125,2936700.0
2022-02-23,240.5500030517578,242.67999267578125,238.02000427246094,238.30999755859375,2296300.0
2022-02-24,235.17999267578125,243.92999267578125,234.0,243.0800018310547,3272300.0
2022-02-25,243.83999633789062,252.89999389648438,243.72999572753906,250.85000610351562,2442200.0
2022-02-28,246.13999938964844,250.05999755859375,244.58999633789062,249.9499969482422,3188800.0
2022-03-01,247.55999755859375,250.33999633789062,245.44000244140625,249.5,2873200.0
2022-03-02,249.8800048828125,256.4800109863281,249.05999755859375,254.1699981689453,2452000.0
2022-03-03,254.8300018310547,259.5799865722656,254.38999938964844,258.6400146484375,3153700.0
2022-03-04,256.2099914550781,263.4599914550781,255.52000427246094,262.8699951171875,3497100.0
2022-03-07,259.8599853515625,263.6300048828125,257.8599853515625,261.6400146484375,3074800.0
2022-03-08,259.92999267578125,265.29998779296875,258.9100036621094,259.92999267578125,3482600.0
2022-03-09,263.29998779296875,267.7900085449219,262.07000732421875,262.7900085449219,2965900.0
2022-03-10,262.8399963378906,267.7300109863281,262.8399963378906,266.0199890136719,2797200.0
2022-03-11,265.07000732421875,271.7200012207031,265.07000732421875,266.29998779296875,2469600.0
2022-03-14,268.989990234375,270.8999938964844,267.32000732421875,269.0,2713800.0
2022-03-15,269.8699951171875,276.4800109863281,269.8699951171875,275.4599914550781,4396900.0
2022-03-16,277.8500061035156,278.6099853515625,273.010009765625,276.44000244140625,3148600.0
2022-03-17,277.010009765625,285.8900146484375,276.45001220703125,285.510009765625,3270100.0
2022-03-18,285.8399963378906,291.3500061035156,284.8599853515625,287.6400146484375,4557900.0
2022-03-21,287.760009765625,295.3299865722656,287.760009765625,289.6400146484375,3495700.0
2022-03-22,289.6700134277344,290.55999755859375,283.3900146484375,285.0199890136719,3791600.0
2022-03-23,284.4200134277344,288.17999267578125,283.3500061035156,284.19000244140625,3149200.0
2022-03-24,286.2900085449219,288.8500061035156,284.6600036621094,287.69000244140625,2412400.0
2022-03-25,288.5,291.6499938964844,286.5799865722656,289.0199890136719,2399800.0
2022-03-28,291.3299865722656,292.45001220703125,288.30999755859375,291.6600036621094,2195000.0
2022-03-29,292.0299987792969,293.1400146484375,287.5799865722656,288.3900146484375,2798100.0
2022-03-30,290.5799865722656,292.2900085449219,287.989990234375,289.8900146484375,2220100.0
2022-03-31,289.3699951171875,291.79998779296875,285.9200134277344,286.3699951171875,3227600.0
2022-04-01,286.1499938964844,293.1400146484375,284.0,292.6700134277344,3066200.0
2022-04-04,292.75,294.9800109863281,290.95001220703125,291.4200134277344,3014100.0
2022-04-05,291.7200012207031,295.8299865722656,289.1000061035156,292.489990234375,2324200.0
2022-04-06,296.0899963378906,306.55999755859375,294.7699890136719,305.8399963378906,4672900.0
2022-04-07,305.0,314.0,305.0,308.42999267578125,4270800.0
2022-04-08,308.0,312.3800048828125,307.95001220703125,311.69000244140625,3024700.0
2022-04-11,313.0899963378906,313.760009765625,308.04998779296875,308.9599914550781,2178100.0
2022-04-12,306.5799865722656,309.6099853515625,304.17999267578125,308.0799865722656,2688100.0
2022-04-13,307.2799987792969,308.29998779296875,300.4100036621094,302.6700134277344,2528700.0
2022-04-14,303.75,304.4700012207031,300.19000244140625,301.8599853515625,1898100.0
2022-04-18,301.07000732421875,302.05999755859375,296.79998779296875,298.82000732421875,1581400.0
2022-04-19,298.4100036621094,299.69000244140625,293.79998779296875,297.010009765625,2021700.0
2022-04-20,297.0199890136719,299.0,292.29998779296875,292.9200134277344,2608600.0
2022-04-21,292.9200134277344,293.45001220703125,286.6600036621094,289.6099853515625,2716800.0
2022-04-22,289.29998779296875,289.6199951171875,278.3999938964844,278.7300109863281,2772600.0
2022-04-25,278.75,285.95001220703125,276.8299865722656,285.20001220703125,2410200.0
2022-04-26,286.17999267578125,290.2099914550781,282.7900085449219,282.8299865722656,2166600.0
2022-04-27,283.1000061035156,288.1300048828125,280.5899963378906,285.0899963378906,2352100.0
2022-04-28,295.989990234375,300.510009765625,288.55999755859375,297.2699890136719,5886900.0
2022-04-29,295.7900085449219,297.30999755859375,289.1400146484375,292.1300048828125,3910900.0
2022-05-02,291.2300109863281,292.8399963378906,284.2799987792969,289.55999755859375,2789900.0
2022-05-03,288.6300048828125,289.80999755859375,284.1099853515625,288.07000732421875,2109500.0
2022-05-04,288.5,296.9800109863281,284.1199951171875,294.8999938964844,2743600.0
2022-05-05,293.4200134277344,294.989990234375,288.29998779296875,292.3699951171875,3120200.0
2022-05-06,290.1700134277344,298.25,288.5199890136719,296.8999938964844,2931200.0
2022-05-09,293.510009765625,294.92999267578125,286.6499938964844,289.2300109863281,3460500.0
2022-05-10,292.0,293.42999267578125,285.0,285.70001220703125,3140800.0
2022-05-11,283.6700134277344,294.5,283.0,286.69000244140625,2625200.0
2022-05-12,283.3299865722656,291.989990234375,283.3299865722656,291.79998779296875,2370000.0
2022-05-13,292.6300048828125,292.79998779296875,286.510009765625,291.6300048828125,2337700.0
2022-05-16,292.1099853515625,309.44000244140625,291.6000061035156,299.3800048828125,5118300.0
2022-05-17,300.0,303.3999938964844,293.3900146484375,301.3999938964844,2553000.0
2022-05-18,300.0,302.6000061035156,294.0299987792969,295.19000244140625,2161400.0
2022-05-19,293.5799865722656,293.5799865722656,284.3699951171875,286.2699890136719,3157400.0
2022-05-20,290.7300109863281,299.239990234375,288.9200134277344,298.8500061035156,3129100.0
2022-05-23,300.6000061035156,304.9200134277344,299.3500061035156,302.6000061035156,2873600.0
2022-05-24,303.7099914550781,307.6700134277344,299.79998779296875,305.9599914550781,2804900.0
2022-05-25,307.0,310.4200134277344,304.6400146484375,307.010009765625,3195700.0
2022-05-26,305.2300109863281,313.9100036621094,303.6099853515625,313.4599914550781,3284200.0
2022-05-27,312.6499938964844,324.0799865722656,311.260009765625,323.4800109863281,3694300.0
2022-05-31,316.6300048828125,318.4599914550781,309.0299987792969,313.44000244140625,6298900.0
2022-06-01,313.44000244140625,313.8999938964844,305.5899963378906,311.0799865722656,2731500.0
2022-06-02,310.57000732421875,310.6700134277344,298.1700134277344,302.42999267578125,3703300.0
2022-06-03,302.1600036621094,305.80999755859375,300.70001220703125,301.6499938964844,2490000.0
2022-06-06,315.1300048828125,315.1300048828125,303.0899963378906,303.3599853515625,3734400.0
2022-06-07,303.989990234375,312.1499938964844,303.0199890136719,312.1000061035156,3652800.0
2022-06-08,312.42999267578125,315.5,310.80999755859375,313.489990234375,2684500.0
2022-06-09,311.6000061035156,311.9200134277344,303.1099853515625,303.25,1963300.0
2022-06-10,299.2300109863281,301.6600036621094,296.8699951171875,297.010009765625,2469800.0
2022-06-13,290.42999267578125,293.1600036621094,288.510009765625,291.2799987792969,2898800.0
2022-06-14,289.1700134277344,292.0,287.2900085449219,290.7900085449219,2422600.0
2022-06-15,291.6000061035156,296.3399963378906,288.5299987792969,292.989990234375,1970100.0
2022-06-16,290.20001220703125,290.20001220703125,283.1099853515625,288.07000732421875,2628600.0
2022-06-17,290.010009765625,300.989990234375,289.67999267578125,290.8999938964844,6900000.0
2022-06-21,292.3800048828125,299.2799987792969,290.30999755859375,297.3399963378906,2821300.0
2022-06-22,296.9599914550781,309.6499938964844,296.42999267578125,306.69000244140625,4535700.0
2022-06-23,309.5,313.19000244140625,307.19000244140625,312.7200012207031,3729300.0
2022-06-24,319.54998779296875,325.82000732421875,319.010009765625,325.6199951171875,5449900.0
2022-06-27,324.2300109863281,330.8500061035156,322.0,327.2699890136719,3218900.0
2022-06-28,326.5199890136719,329.07000732421875,316.760009765625,317.6199951171875,2742900.0
2022-06-29,318.1600036621094,324.70001220703125,317.6499938964844,323.0,2562500.0
2022-06-30,322.1300048828125,327.04998779296875,320.010009765625,324.2300109863281,2732900.0
2022-07-01,323.8800048828125,325.3999938964844,317.760009765625,324.7099914550781,1817800.0
2022-07-05,322.44000244140625,327.42999267578125,318.92999267578125,327.17999267578125,2107700.0
2022-07-06,328.0,332.739990234375,326.75,330.1499938964844,2252500.0
2022-07-07,327.25,330.5,326.239990234375,327.95001220703125,2395000.0
2022-07-08,326.54998779296875,334.5199890136719,326.1600036621094,330.4700012207031,1898200.0
2022-07-11,330.6099853515625,332.67999267578125,329.42999267578125,331.07000732421875,1342600.0
2022-07-12,330.0,331.989990234375,323.3599853515625,323.5899963378906,2058200.0
2022-07-13,322.010009765625,324.67999267578125,320.8299865722656,322.4599914550781,2564200.0
2022-07-14,317.5400085449219,327.760009765625,315.510009765625,326.8900146484375,2615700.0
2022-07-15,331.9700012207031,335.3299865722656,328.1700134277344,331.6000061035156,3340300.0
